week_start,total_orders,total_gmv,aov,cancellation_rate,avg_review_score,avg_delivery_days,on_time_delivery_rate
2016-08-29,1,136.23,136.23,0.0,1.0,,
2016-09-05,1,75.06,75.06,1.0,1.0,,
2016-09-12,2,143.46,71.73,0.5,1.0,55.0,0.0
2016-09-26,1,109.34,109.34,1.0,1.0,,
2016-10-03,283,52206.110000000015,184.4738869257951,0.09540636042402827,3.550359712230216,19.673728813559322,0.9915254237288136
2016-10-10,39,4493.39,115.21512820512821,0.05128205128205128,3.72972972972973,19.176470588235293,0.9705882352941176
2016-10-17,1,0.0,0.0,1.0,1.0,,
2016-12-19,1,19.62,19.62,0.0,5.0,5.0,1.0
2017-01-02,46,3953.169999999998,85.93847826086952,0.0,4.6,11.522727272727273,0.9772727272727273
2017-01-09,80,14742.33,184.279125,0.025,3.9210526315789473,14.876712328767123,0.9315068493150684
2017-01-16,197,28318.239999999994,143.74741116751267,0.01015228426395939,4.0476190476190474,11.878306878306878,0.9894179894179894
2017-01-23,354,65589.07999999997,185.27988700564964,0.011299435028248588,4.068181818181818,12.993975903614459,0.9728915662650602
2017-01-30,467,81927.9,175.43447537473233,0.03854389721627409,4.072210065645514,12.68287037037037,0.9652777777777778
2017-02-06,548,90027.59999999999,164.2839416058394,0.03467153284671533,4.14100185528757,12.330724070450097,0.9706457925636007
2017-02-13,411,63703.66999999995,154.9967639902675,0.043795620437956206,3.9236453201970445,13.364116094986807,0.9815303430079155
2017-02-20,379,55800.10999999998,147.2298416886543,0.026385224274406333,3.911764705882353,14.873925501432664,0.9570200573065902
2017-02-27,497,83904.74999999994,168.82243460764576,0.04024144869215292,4.065573770491803,12.872017353579176,0.9370932754880694
2017-03-06,582,91402.51999999992,157.04900343642598,0.027491408934707903,4.06993006993007,13.012773722627736,0.9562043795620438
2017-03-13,615,108992.56999999975,177.22369105691016,0.00975609756097561,4.077302631578948,13.930626057529611,0.937394247038917
2017-03-20,654,98406.83999999994,150.4691743119265,0.0290519877675841,4.0644409937888195,12.416666666666666,0.9407051282051282
2017-03-27,565,98408.62999999989,174.1745663716812,0.012389380530973451,4.18491921005386,13.291208791208792,0.9523809523809523
2017-04-03,586,105733.95999999989,180.43337883959026,0.010238907849829351,4.0846422338568935,14.02309058614565,0.9342806394316163
2017-04-10,443,69355.26999999996,156.558171557562,0.013544018058690745,3.9703872437357632,15.239904988123515,0.9073634204275535
2017-04-17,571,100519.7699999999,176.04162872154097,0.014010507880910683,3.9223214285714287,15.911926605504588,0.8972477064220183
2017-04-24,671,107153.52999999987,159.69229508196702,0.00894187779433681,4.083832335329341,15.349378881987578,0.9301242236024845
2017-05-01,788,117714.60999999988,149.38402284263944,0.013959390862944163,4.09009009009009,13.701333333333332,0.964
2017-05-08,794,130651.79999999974,164.54886649874024,0.018891687657430732,4.11749680715198,11.183266932270916,0.9428950863213812
2017-05-15,940,142279.18999999974,151.36084042553165,0.00851063829787234,4.143326039387309,10.62117903930131,0.9737991266375546
